x,y
1.7366345311130587, -0.2085411471321696
1.7813321647677476, -0.1779925187032419
1.839176161262051, -0.12998753117206985
1.8838737949167397, -0.08852867830423941
1.9233128834355828, -0.04925187032418954
1.9680105170902717, -0.0034289276807980273
2.0153374233128836, 0.05112219451371569
2.0521472392638036, 0.1013092269326683
2.11262050832603, 0.17549875311720697
2.152059596844873, 0.23004987531172066
2.196757230499562, 0.2955112219451371
2.2388255915863278, 0.3566084788029925
2.273006134969325, 0.41115960099750615
2.3150744960560914, 0.47443890274314204
2.3913234005258546, 0.5835411471321695
2.4596844872918493, 0.6795511221945136
2.5122699386503067, 0.7537406483790523
2.575372480280456, 0.827930174563591
2.6253286590709903, 0.8890274314214464
2.677914110429448, 0.9413965087281795
2.738387379491674, 1.0003117206982544
2.8567046450482034, 1.0963216957605983
2.930324276950044, 1.1486907730673315
3.0039439088518844, 1.1879675810473815
3.114373356704645, 1.2359725685785534
3.1879929886064855, 1.257793017456359
3.2957931638913234, 1.2839775561097255
3.387817703768624, 1.2992518703241893
3.492988606485539, 1.3123441396508726
3.645486415425066, 1.325436408977556
3.8190184049079754, 1.34071072319202
3.9872918492550395, 1.345074812967581
4.11612620508326, 1.345074812967581
4.247589833479404, 1.3516209476309227
4.368536371603856, 1.3472568578553614
4.468448729184926, 1.349438902743142
