bsdb,ref_idsys,id,L,spType,catalogue,filename,line
J000001.10+385133.7:c1,WDS,00000+3852A,,B,WDS,wds.dat,686072
J000001.10+385133.7:c1,CCDM,00000+3852A,,B,CCDM,ccdm.dat,14
J000003.14+002133.3:c1,WDS,00001+0022A,,M,WDS,wds.dat,26
J000006.64+752859.7:c1,WDS,00000+7530A,,A,WDS,wds.dat,2
J000007.30+184417.0:c1,GCVS,DM Peg A,6.58,A,II/150A,catalog.dat,4280
J000007.30+184417.0:c1,GCVS,DM Peg A,,A,CEV,catalog.dat,4280
J000007.30+184417.0:c1,GCVS,DM Peg A,,A,B/gcvs,gcvs_cat.dat,4280
J000007.30+184417.0:c1,GCVS,DM Peg A,,B,J/A+A/417/263,table4.dat,4280
J000007.30+184417.0:c1,GCVS,DM Peg A,,S,J/A+A/417/263,table4.dat,4280
J000007.30+184417.0:c2,GCVS,DM Peg B,7.36,,II/150A,catalog.dat,4281
J000009.76-251928.8:c1,CCDM,00002-2519A,,G,CCDM,ccdm.dat,68
J000009.76-251928.8:c1,WDS,00002-2519A,,G,WDS,wds.dat,686098
J000009.76-251928.8:c2,CCDM,00002-2519B,,G,CCDM,ccdm.dat,69
J000010.39-002036.3:c1,WDS,00002-0021A,,G,WDS,wds.dat,61
J000010.39-002036.3:c2,WDS,00002-0021B,,K,WDS,wds.dat,62
J000010.68+411928.9:c1,WDS,00002+4119A,,K,WDS,wds.dat,40
J000012.14+014617.7:c1,CCDM,00002+0146A,,G,CCDM,ccdm.dat,53
J000012.14+014617.7:c1,WDS,00002+0146A,,G,WDS,wds.dat,686089
J000013.00+001404.8:c1,WDS,00002+0014A,,M,WDS,wds.dat,57
J000013.77+164056.6:c1,WDS,00003+1642A,,G,WDS,wds.dat,93
J000015.92+080025.9:c1,WDS,00003+0800A,,K,WDS,wds.dat,97
J000018.65+655642.0:c1,CCDM,00003+6557A,,F,CCDM,ccdm.dat,77
J000018.65+655642.0:c1,WDS,00003+6557A,,F,WDS,wds.dat,686105
J000019.10-441726.0:c1,CCDM,00003-4417A,,K,CCDM,ccdm.dat,686126
J000019.10-441726.0:c1,WDS,00003-4417A,,G,WDS,wds.dat,686127
J000020.40+565111.4:c1,WDS,00003+5651A,,A,WDS,wds.dat,89
J000020.62-411751.9:c1,WDS,00003-4118A,,G,WDS,wds.dat,110
J000022.54-105141.8:c1,WDS,00004-1052A,,D,WDS,wds.dat,174
J000024.61+602530.4:c1,WDS,00004+6026A,,K,WDS,wds.dat,686147
J000025.28-471046.5:c1,CCDM,00004-4711A,,F,CCDM,ccdm.dat,180
J000025.28-471046.5:c1,WDS,00004-4711A,,F,WDS,wds.dat,686181
J000025.49+083006.9:c1,WDS,00004+0830A,,K,WDS,wds.dat,686169
J000025.49+083006.9:c1,CCDM,00005+0829A,,K,CCDM,ccdm.dat,161
J000025.49+083006.9:c1,WDS,00004+0830A,,F,WDS,wds.dat,686169
J000025.49+083006.9:c3,CCDM,00005+0829C,,F,CCDM,ccdm.dat,167
J000026.44+242931.2:c1,WDS,00004+2430A,,K,WDS,wds.dat,156
J000026.44+242931.2:c2,WDS,00004+2430B,,M,WDS,wds.dat,157
J000027.33+311334.6:c1,CCDM,00005+3114A,,K,CCDM,ccdm.dat,230
J000027.33+311334.6:c1,WDS,00005+3114A,,K,WDS,wds.dat,686210
J000028.51+491717.6:c1,WDS,00005+4917A,,A,WDS,wds.dat,686201
J000028.82+671258.7:c1,WDS,00005+6713A,,B,WDS,wds.dat,686188
J000029.99-393729.0:c1,GCVS,SW Phe A,,A,B/gcvs,gcvs_cat.dat,4284
J000029.99-393729.0:c1,GCVS,SW Phe A,,A,CEV,catalog.dat,4284
J000029.99-393729.0:c1,GCVS,SW Phe A,,A,J/A+A/417/263,table6d.dat,4284
J000030.89-034207.9:c1,WDS,00005-0342A,,K,WDS,wds.dat,239
J000030.89-034207.9:c2,WDS,00005-0342B,,M,WDS,wds.dat,240
J000031.40+203029.9:c1,WDS,00005+2031A,,F,WDS,wds.dat,686213
J000032.00-721209.9:c1,CCDM,00005-7212A,,G,CCDM,ccdm.dat,249
J000032.00-721209.9:c1,WDS,00005-7212A,,G,WDS,wds.dat,686217
J000034.16-530550.7:c1,CCDM,00006-5306A,,G,CCDM,ccdm.dat,280
J000034.16-530550.7:c1,WDS,00006-5306A,,G,WDS,wds.dat,686238
J000034.81-523814.2:c1,CCDM,00006-5238A,,G,CCDM,ccdm.dat,274
J000034.81-523814.2:c1,WDS,00006-5238A,,K,WDS,wds.dat,686230
J000038.09-664057.1:c1,CCDM,00006-6641A,,F,CCDM,ccdm.dat,286
J000038.09-664057.1:c1,WDS,00006-6641A,,G,WDS,wds.dat,686244
J000039.07+001322.6:c1,WDS,00007+0013A,,K,WDS,wds.dat,686276
J000039.07+001322.6:c1,CCDM,00007+0013A,,K,CCDM,ccdm.dat,322
J000039.47-121551.1:c1,WDS,00007-1216A,,M,WDS,wds.dat,332
J000048.09+165917.5:c1,WDS,00008+1659A,,K,WDS,wds.dat,358
J000049.68+364647.9:c1,WDS,00008+3647A,,G,WDS,wds.dat,686293
J000049.68+364647.9:c1,CCDM,00008+3647A,,G,CCDM,ccdm.dat,353
J000050.02-324412.4:c1,WDS,00008-3244A,,K,WDS,wds.dat,686305
J000050.02-324412.4:c1,CCDM,00008-3244A,,K,CCDM,ccdm.dat,369
J000051.03-011758.1:c1,WDS,00009-0118A,,G,WDS,wds.dat,382
J000051.03-011758.1:c2,WDS,00009-0118B,,G,WDS,wds.dat,383
J000051.56+602306.6:c1,WDS,00009+6023A,,K,WDS,wds.dat,373
J000051.56+602306.6:c2,WDS,00009+6023B,,K,WDS,wds.dat,374
J000054.38-090806.4:c1,WDS,00009-0908A,,D,WDS,wds.dat,386
J000054.38-090806.4:c2,WDS,00009-0908B,,M,WDS,wds.dat,387
J000055.28-202526.8:c1,CCDM,00009-2025A,,A,CCDM,ccdm.dat,397
J000055.28-202526.8:c1,WDS,00009-2025A,,A,WDS,wds.dat,686321
J000057.19-544520.3:c1,CCDM,00010-5445A,,F,CCDM,ccdm.dat,421
J000057.19-544520.3:c1,WDS,00010-5445A,,F,WDS,wds.dat,686336
J000059.23+605732.4:c1,GCVS,CG Cas A,,F,B/gcvs,gcvs_cat.dat,4296
J000101.57-423415.5:c1,WDS,00010-4234A,,F,WDS,wds.dat,405
J000101.57-423415.5:c1A,WDS,00010-4234A,,F,WDS,wds.dat,686326
J000101.57-423415.5:c1A,CCDM,00010-4234A,,A,CCDM,ccdm.dat,410
J000102.34-491909.7:c1,CCDM,00010-4919A,,K,CCDM,ccdm.dat,416
J000102.34-491909.7:c1,WDS,00010-4920A,,K,WDS,wds.dat,686333
J000104.11-232624.1:c1,CCDM,00010-2326A,,K,CCDM,ccdm.dat,459
J000104.11-232624.1:c1,WDS,00011-2326A,,K,WDS,wds.dat,686366
J000104.11-232624.1:c2,CCDM,00010-2326B,,G,CCDM,ccdm.dat,460
J000104.72+693432.2:c1,WDS,00011+6935A,,B,WDS,wds.dat,686341
J000104.72+693432.2:c1,CCDM,00011+6935A,,B,CCDM,ccdm.dat,428
J000104.72+693432.2:c2,CCDM,00011+6935B,,B,CCDM,ccdm.dat,429
J000106.41+150516.6:c1,WDS,00011+1505A,,M,WDS,wds.dat,452
J000110.15-000432.1:c1,WDS,00012-0005A,,F,WDS,wds.dat,479
J000113.17+135829.5:c1,WDS,00012+1357A,,M,WDS,wds.dat,686375
J000113.17+135829.5:c1,CCDM,00012+1358A,,M,CCDM,ccdm.dat,474
J000113.17+135829.5:c2,WDS,00012+1357B,,M,WDS,wds.dat,686378
J000115.91+602119.6:c2,CCDM,00013+6021B,,A,CCDM,ccdm.dat,499
J000115.91+602119.6:c2,WDS,00013+6021B,,A,WDS,wds.dat,686404
J000115.91+602119.6:c2,WDS,00013+6021B,,A,WDS,wds.dat,686390
J000115.91+602119.6:c3,WDS,00013+6021C,,G,WDS,wds.dat,686396
J000115.91+602119.6:c5,CCDM,00013+6021B,,A,CCDM,ccdm.dat,512
J000120.03+074205.3:c1,WDS,00013+0742A,,F,WDS,wds.dat,686426
J000120.03+074205.3:c1,CCDM,00013+0742A,,F,CCDM,ccdm.dat,536
J000120.03+074205.3:c2,CCDM,00013+0742B,,F,CCDM,ccdm.dat,537
J000121.17+482823.7:c1,WDS,00014+4828A,,F,WDS,wds.dat,574
J000123.28+634706.1:c1,WDS,00014+6347A,,F,WDS,wds.dat,562
J000123.69+393638.9:c1,CCDM,00014+3937A,,G,CCDM,ccdm.dat,686467
J000123.69+393638.9:c1,WDS,00014+3937A,,K,J/A+A/546/A69,table2.dat,686468
J000123.69+393638.9:c1,WDS,00014+3937A,,K,WDS,wds.dat,686468
J000123.69+393638.9:c2,WDS,00014+3937B,,K,WDS,wds.dat,686472
J000127.47+271954.8:c1,WDS,00014+2719A,,M,WDS,wds.dat,592
J000127.47+271954.8:c2,WDS,00014+2719B,,D,WDS,wds.dat,593
J000129.23+304408.6:c1,WDS,00015+3044A,,G,WDS,wds.dat,686490
J000129.23+304408.6:c1,CCDM,00015+3044A,,G,CCDM,ccdm.dat,615
J000129.38-620245.9:c1,CCDM,00015-6203A,,A,CCDM,ccdm.dat,620
J000129.38-620245.9:c1,WDS,00015-6203A,,A,WDS,wds.dat,686497
J000134.77+643724.9:c1,WDS,00016+6437A,,B,WDS,wds.dat,686501
J000134.77+643724.9:c1,CCDM,00016+6437A,,B,CCDM,ccdm.dat,626
J000139.46+733642.6:c1,WDS,00017+7337A,,A,WDS,wds.dat,649
J000144.59+631005.1:c1,WDS,00017+6309A,,G,WDS,wds.dat,656
J000146.90+673025.0:c1,GCVS,V747 Cep A,,O,B/gcvs,gcvs_cat.dat,4272
J000147.04-361257.2:c1,WDS,00018-3613A,,K,WDS,wds.dat,686565
J000147.04-361257.2:c1,CCDM,00018-3613A,,K,CCDM,ccdm.dat,736
J000147.06-191138.8:c1,WDS,00018-1912A,,K,WDS,wds.dat,724
J000147.74-571430.8:c1,CCDM,00018-5715A,,A,CCDM,ccdm.dat,741
J000147.74-571430.8:c1,WDS,00018-5715A,,A,WDS,wds.dat,686572
J000148.89+145728.8:c1,WDS,00018+1457A,,M,WDS,wds.dat,716
J000149.43-254752.7:c1,CCDM,00018-2548A,,A,CCDM,ccdm.dat,729
J000149.43-254752.7:c1,WDS,00018-2548A,,A,WDS,wds.dat,686560
J000150.36+643729.7:c1,CCDM,00018+6437A,,G,CCDM,ccdm.dat,706
J000150.36+643729.7:c1,WDS,00018+6437A,,G,WDS,wds.dat,686547
J000152.54+631859.5:c1,WDS,00019+6319A,,A,WDS,wds.dat,686577
J000156.34-413649.8:c1,CCDM,00019-4137A,,F,CCDM,ccdm.dat,767
J000156.34-413649.8:c1,WDS,00019-4137A,,F,WDS,wds.dat,686594
J000201.72+234651.0:c1,WDS,00020+2347A,,F,WDS,wds.dat,791
J000201.72+234651.0:c2,WDS,00020+2347B,,G,WDS,wds.dat,792
J000203.73+292830.5:c1,WDS,00021+2929A,,M,WDS,wds.dat,829
J000203.73+292830.5:c2,WDS,00021+2929B,,M,WDS,wds.dat,830
J000204.86+145352.6:c1,WDS,00021+1454A,,M,WDS,wds.dat,833
J000208.72-681649.3:c1,WDS,00021-6817A,,K,WDS,wds.dat,849
J000208.72-681649.3:c1A,CCDM,00021-6817A,,K,CCDM,ccdm.dat,686660
J000208.72-681649.3:c1A,WDS,00021-6817A,,K,WDS,wds.dat,854
J000210.18+270455.6:c1,WDS,00022+2705A,,G,WDS,wds.dat,887
J000210.18+270455.6:c1,CCDM,00021+2706A,,G,CCDM,ccdm.dat,686699
J000210.18+270455.6:c1,WDS,00022+2705A,,G,J/A+A/546/A69,table2.dat,887
J000210.18+270455.6:c1A,WDS,00022+2705A,,G,J/A+A/546/A69,table2.dat,686692
J000210.18+270455.6:c1A,WDS,00022+2705A,,G,WDS,wds.dat,686692
J000210.18+270455.6:c1A,WDS,00022+2705A,,G,WDS,wds.dat,892
J000210.18+270455.6:c1A,WDS,00022+2705A,,G,J/A+A/546/A69,table2.dat,892
J000210.18+270455.6:c1B,WDS,00022+2705B,,K,WDS,wds.dat,893
J000210.18+270455.6:c1B,WDS,00022+2705B,,K,WDS,wds.dat,686695
J000212.38+595755.2:c1,CCDM,00022+5958A,,K,CCDM,ccdm.dat,861
J000212.38+595755.2:c1,WDS,00022+5958A,,G,WDS,wds.dat,686667
J000215.38+073359.5:c1,WDS,00023+0732A,,D,WDS,wds.dat,940
J000215.38+073359.5:c2,WDS,00023+0732B,,D,WDS,wds.dat,941
J000216.05-270805.5:c1,WDS,00023-2708A,,F,WDS,wds.dat,686741
J000216.05-270805.5:c1,CCDM,00023-2708A,,F,CCDM,ccdm.dat,954
J000216.14-723745.8:c1,CCDM,00023-7238A,,F,CCDM,ccdm.dat,973
J000216.14-723745.8:c1,WDS,00023-7238A,,F,WDS,wds.dat,686757
J000219.35+325724.8:c1,WDS,00023+3257A,,G,WDS,wds.dat,686718
J000219.35+325724.8:c1,CCDM,00023+3257A,,G,CCDM,ccdm.dat,926
J000219.35+325724.8:c1A,CCDM,00023+3257A,,G,CCDM,ccdm.dat,931
J000219.35+325724.8:c1A,WDS,00023+3257A,,G,WDS,wds.dat,686722
J000219.93-294314.0:c1,WDS,00023-2943A,,B,WDS,wds.dat,686748
J000219.93-294314.0:c1,CCDM,00023-2943A,,B,CCDM,ccdm.dat,959
J000222.00+502959.4:c1,WDS,00024+5030A,,A,WDS,wds.dat,979
J000225.34+104635.2:c1,CCDM,00024+1047A,,G,CCDM,ccdm.dat,995
J000225.34+104635.2:c1,WDS,00024+1047AB,,G,WDS,wds.dat,686771
J000225.34+104635.2:c1A,WDS,00024+1047A,,G,WDS,wds.dat,1000
J000225.34+104635.2:c1A,CCDM,00024+1047A,,G,CCDM,ccdm.dat,686777
J000225.34+104635.2:c2,CCDM,00024+1047C,,G,CCDM,ccdm.dat,1002
J000225.34+104635.2:p1A-1B,WDS,00024+1047AB,,G,WDS,wds.dat,997
J000225.34+104635.2:p1A-1B,WDS,00024+1047AB,,G,WDS,wds.dat,998
J000225.34+104635.2:p1A-1B,WDS,00024+1047AB,,G,WDS,wds.dat,996
J000225.34+104635.2:p1A-1B,WDS,00024+1047AB,,G,WDS,wds.dat,686775
J000225.34+104635.2:p1A-1B,WDS,00024+1047AB,,G,WDS,wds.dat,999
J000225.51+011337.6:c1,WDS,00024+0114A,,M,WDS,wds.dat,1005
J000225.51+011337.6:c2,WDS,00024+0114B,,M,WDS,wds.dat,1006
J000228.66+000235.8:c1,WDS,00025+0003A,,K,WDS,wds.dat,1023
J000228.66+000235.8:c2,WDS,00025+0003B,,M,WDS,wds.dat,1024
J000229.44-565349.6:c1,CCDM,00025-5654A,,G,CCDM,ccdm.dat,1040
J000229.44-565349.6:c1,WDS,00025-5654A,,G,WDS,wds.dat,686798
J000233.43+184100.0:c1,WDS,00026+1841A,,F,WDS,wds.dat,1078
J000233.43+184100.0:c2,WDS,00026+1841B,,G,WDS,wds.dat,1083
J000233.43+184100.2:c1,CCDM,00026+1841A,,F,CCDM,ccdm.dat,4075
J000235.44+553420.8:c1,WDS,00026+5534A,,K,WDS,wds.dat,686816
J000235.44+553420.8:c1,CCDM,00026+5534A,,K,CCDM,ccdm.dat,1069
J000235.84+660557.0:c1,WDS,00026+6606A,,G,WDS,wds.dat,686803
J000235.84+660557.0:c1,CCDM,00026+6606A,,G,CCDM,ccdm.dat,1047
J000235.84+660557.0:c2,WDS,00026+6606B,,A,WDS,wds.dat,686806
J000235.84+660557.0:c2,CCDM,00026+6606B,,A,CCDM,ccdm.dat,1048
J000238.92-082915.4:c1,CCDM,00026-0829A,,G,CCDM,ccdm.dat,686831
J000238.92-082915.4:c1,WDS,00026-0829A,,G,WDS,wds.dat,686832
J000244.68+595738.1:c1,WDS,00027+5958A,,K,WDS,wds.dat,686839
J000244.68+595738.1:c1,CCDM,00027+5958A,,K,CCDM,ccdm.dat,1096
J000244.68+595738.1:c2,CCDM,00027+5958B,,A,CCDM,ccdm.dat,1097
J000245.92+354856.3:c1,WDS,00028+3549A,,A,WDS,wds.dat,686873
J000245.92+354856.3:c1,CCDM,00028+3549A,,A,CCDM,ccdm.dat,1134
J000246.25+801656.5:c1,CCDM,00028+8017A,,F,CCDM,ccdm.dat,1119
J000246.25+801656.5:c1,WDS,00028+8017A,,F,WDS,wds.dat,686860
J000247.20+020746.8:c1,WDS,00028+0208A,,F,WDS,wds.dat,686876
J000247.20+020746.8:c1,CCDM,00028+0208A,,G,CCDM,ccdm.dat,1147
J000247.20+020746.8:c1A,CCDM,00028+0208A,,G,CCDM,ccdm.dat,1152
J000247.20+020746.8:c1A,WDS,00028+0208A,,F,WDS,wds.dat,686880
J000248.14-404832.6:c1,WDS,00027-4048A,,F,WDS,wds.dat,1106
J000248.86-235232.8:c1,WDS,00028-2353A,,A,WDS,wds.dat,686888
J000248.86-235232.8:c1,CCDM,00028-2353A,,A,CCDM,ccdm.dat,1158
J000249.93+781218.7:c1,WDS,00028+7812A,,F,WDS,wds.dat,686867
J000249.93+781218.7:c2,CCDM,00028+7812B,,F,CCDM,ccdm.dat,1125
J000251.07-743551.6:c1,WDS,00029-7436AB,,G,WDS,wds.dat,686933
J000251.07-743551.6:c1,WDS,00029-7436A,,G,WDS,wds.dat,1204
J000251.07-743551.6:c3,WDS,00029-7436C,,G,WDS,wds.dat,1208
J000251.07-743551.6:p1-2,WDS,00029-7436AB,,G,WDS,wds.dat,1201
J000251.07-743551.6:p1-2,WDS,00029-7436AB,,G,WDS,wds.dat,1202
J000251.07-743551.6:p1-2,WDS,00029-7436AB,,G,WDS,wds.dat,1203
J000251.47+471507.8:c1,WDS,00029+4715A,,A,WDS,wds.dat,686908
J000251.47+471507.8:c1,CCDM,00029+4715A,,A,CCDM,ccdm.dat,1178
J000255.72+712130.3:c1,WDS,00029+7122A,,K,WDS,wds.dat,686899
J000255.72+712130.3:c1,CCDM,00029+7122A,,K,CCDM,ccdm.dat,1171
J000255.85+144026.5:c1,WDS,00029+1440A,,M,WDS,wds.dat,1188
J000257.04-005338.0:c1,CCDM,00030-0054A,,K,CCDM,ccdm.dat,1238
J000257.04-005338.0:c1,WDS,00030-0054A,,K,WDS,wds.dat,686959
J000258.42+032254.1:c1,CCDM,00030+0323A,,F,CCDM,ccdm.dat,4079
J000300.87-540134.2:c1,CCDM,00030-5402A,,F,CCDM,ccdm.dat,1249
J000300.87-540134.2:c1,WDS,00030-5402A,,F,WDS,wds.dat,686964
J000303.75+081615.2:c1,WDS,00031+0816A,,F,WDS,wds.dat,687008
J000303.75+081615.2:c1,CCDM,00031+0816A,,F,CCDM,ccdm.dat,1305
J000304.61+072140.7:c1,CCDM,00031+0722A,,F,CCDM,ccdm.dat,1230
J000304.61+072140.7:c1,WDS,00030+0723A,,K,WDS,wds.dat,686954
J000304.61+072140.7:c3,CCDM,00031+0722C,,K,CCDM,ccdm.dat,1234
J000304.96+694207.3:c1,WDS,00031+6942A,,F,WDS,wds.dat,686979
J000304.96+694207.3:c1,WDS,00031+6942A,,F,WDS,wds.dat,1257
J000304.96+694207.3:c1A,WDS,00031+6942A,,F,WDS,wds.dat,686973
J000304.96+694207.3:c1A,CCDM,00031+6942A,,F,CCDM,ccdm.dat,1262
J000304.96+694207.3:c4,CCDM,00031+6942A,,F,CCDM,ccdm.dat,686980
J000304.96+694207.3:c4,CCDM,00031+6942A,,F,CCDM,ccdm.dat,1268
J000305.83+522754.5:c1,WDS,00031+5228A,,K,WDS,wds.dat,686986
J000305.83+522754.5:c1,CCDM,00031+5228A,,K,CCDM,ccdm.dat,1281
J000307.12+292909.3:c1,WDS,00031+2929A,,K,WDS,wds.dat,686995
J000309.04+450731.4:c1,WDS,00032+4508A,,F,WDS,wds.dat,687023
J000309.04+450731.4:c1,CCDM,00032+4508A,,F,CCDM,ccdm.dat,1322
J000309.04+450731.4:c2,CCDM,00032+4508B,,F,CCDM,ccdm.dat,1323
J000312.86+761831.0:c1,WDS,00032+7619A,,A,WDS,wds.dat,1315
J000315.83-105942.4:c1,CCDM,00033-1100A,,K,CCDM,ccdm.dat,1403
J000315.83-105942.4:c1,WDS,00033-1100A,,K,WDS,wds.dat,687078
J000316.92-233654.1:c1,WDS,00033-2337A,,F,WDS,wds.dat,687082
J000316.92-233654.1:c1,CCDM,00033-2337A,,F,CCDM,ccdm.dat,1409
J000317.08+823923.9:c1,WDS,00033+8239A,,B,WDS,wds.dat,687030
J000317.08+823923.9:c1A,WDS,00033+8239A,,B,WDS,wds.dat,687032
J000318.20+325045.0:c1,GCVS,TW And A,,G,J/A+A/417/263,table4.dat,688894
J000318.20+325045.0:c1,GCVS,TW And A,8.68,F,II/150A,catalog.dat,688894
J000318.20+325045.0:c1,GCVS,TW And A,,A,J/A+A/417/263,table4.dat,4175
J000318.20+325045.0:c1,GCVS,TW And A,,A,J/A+A/417/263,table4.dat,688894
J000318.20+325045.0:c1,GCVS,TW And A,,F,CEV,catalog.dat,4175
J000318.20+325045.0:c1,GCVS,TW And A,0.797,,Svechnikov84,table2.dat,4175
J000318.20+325045.0:c1,GCVS,TW And A,0.797,,Svechnikov84,table2.dat,688894
J000318.20+325045.0:c1,GCVS,TW And A,0.63,F,J/MNRAS/491/5489,tablea1.dat,688894
J000318.20+325045.0:c1,GCVS,TW And A,0.63,F,J/MNRAS/491/5489,tablea1.dat,4175
J000318.20+325045.0:c1,GCVS,TW And A,8.68,F,II/150A,catalog.dat,4175
J000318.20+325045.0:c1,GCVS,TW And A,,F,CEV,catalog.dat,688894
J000318.20+325045.0:c1,GCVS,TW And A,,F,V/115,table1.dat,4175
J000318.20+325045.0:c1,GCVS,TW And A,,F,V/115,table1.dat,688894
J000318.20+325045.0:c1,GCVS,TW And A,,F,B/gcvs,gcvs_cat.dat,4175
J000318.20+325045.0:c1,GCVS,TW And A,,F,B/gcvs,gcvs_cat.dat,688894
J000318.20+325045.0:c1,GCVS,TW And A,,G,J/A+A/417/263,table4.dat,4175
J000318.20+325045.0:c2,GCVS,TW And B,,K,CEV,catalog.dat,688895
J000318.20+325045.0:c2,GCVS,TW And B,1.16,K,J/MNRAS/491/5489,tablea1.dat,4176
J000318.20+325045.0:c2,GCVS,TW And B,3.64,,II/150A,catalog.dat,4176
J000318.20+325045.0:c2,GCVS,TW And B,3.64,,II/150A,catalog.dat,688895
J000318.20+325045.0:c2,GCVS,TW And B,1.16,K,J/MNRAS/491/5489,tablea1.dat,688895
J000318.20+325045.0:c2,GCVS,TW And B,,K,J/A+A/417/263,table4.dat,4176
J000318.20+325045.0:c2,GCVS,TW And B,,K,J/A+A/417/263,table4.dat,688895
J000318.20+325045.0:c2,GCVS,TW And B,,K,B/gcvs,gcvs_cat.dat,4176
J000318.20+325045.0:c2,GCVS,TW And B,,K,B/gcvs,gcvs_cat.dat,688895
J000318.20+325045.0:c2,GCVS,TW And B,,K,CEV,catalog.dat,4176
J000318.39+533221.1:c1,CCDM,00033+5332A,,A,CCDM,ccdm.dat,1361
J000318.39+533221.1:c1,WDS,00033+5332AB,,A,WDS,wds.dat,687045
J000318.39+533221.1:c1A,CCDM,00033+5332A,,A,CCDM,ccdm.dat,1365
J000318.39+533221.1:c1A,WDS,00033+5332A,,A,WDS,wds.dat,687048
J000318.39+533221.1:p1A-1B,WDS,00033+5332AB,,A,WDS,wds.dat,687046
J000319.25+335703.0:c1,WDS,00033+3357A,,F,WDS,wds.dat,687060
J000320.46-040844.8:c1,CCDM,00033-0409A,,F,CCDM,ccdm.dat,1398
J000320.46-040844.8:c1,WDS,00033-0409A,,F,WDS,wds.dat,687073
J000322.70+574454.0:c1,GCVS,EY Cas A,0.74,K,II/150A,catalog.dat,4232
J000322.70+574454.0:c2,GCVS,EY Cas B,0.74,,II/150A,catalog.dat,4233
J000325.74+633826.9:c1,WDS,00034+6338A,,B,WDS,wds.dat,687088
J000325.74+633826.9:c1,CCDM,00034+6338A,,B,CCDM,ccdm.dat,1415
J000325.85-290000.9:c1,CCDM,00034-2900A,,F,CCDM,ccdm.dat,1434
J000325.85-290000.9:c1,WDS,00034-2900A,,F,WDS,wds.dat,687095
J000327.34-005751.3:c1,WDS,00035-0058A,,M,WDS,wds.dat,1470
J000327.34-005751.3:c2,WDS,00035-0058B,,M,WDS,wds.dat,1471
J000330.47+780004.4:c1,WDS,00035+7800A,,F,WDS,wds.dat,687108
J000340.70-420950.6:c1,WDS,00037-4210A,,F,WDS,wds.dat,1525
J000341.48-282345.7:c1,WDS,00037-2824A,,G,WDS,wds.dat,1519
J000341.48-282345.7:c2,WDS,00037-2824B,,M,WDS,wds.dat,1520
J000342.47+532857.3:c1,WDS,00037+5329A,,A,WDS,wds.dat,687134
J000343.23+375215.5:c1,WDS,00037+3752A,,F,WDS,wds.dat,687142
J000349.70-234602.1:c1,WDS,00039-2347A,,M,WDS,wds.dat,1581
J000349.70-234602.1:c2,WDS,00039-2347B,,D,WDS,wds.dat,1582
J000351.51-633606.8:c1,WDS,00039-6336A,,K,WDS,wds.dat,1598
J000352.60+572241.8:c1,WDS,00039+5723A,,A,WDS,wds.dat,1551
J000352.68+572241.8:c1,CCDM,00039+5723A,,A,CCDM,ccdm.dat,4089
J000352.68+572241.8:c1A,CCDM,00039+5723A,,A,CCDM,ccdm.dat,4092
J000352.75+160334.2:c1,WDS,00039+1604A,,M,WDS,wds.dat,1577
J000353.24+275850.2:c1,WDS,00039+2759AB,,F,WDS,wds.dat,687173
J000353.24+275850.2:c1A,WDS,00039+2759A,,F,WDS,wds.dat,687179
J000353.24+275850.2:p1A-1B,WDS,00039+2759AB,,F,WDS,wds.dat,687176
J000353.29+604034.9:c1,CCDM,00039+6041A,,B,CCDM,ccdm.dat,1547
J000353.29+604034.9:c1,WDS,00039+6041A,,B,WDS,wds.dat,687165
J000354.24-574949.9:c1,CCDM,00039-5750A,,G,CCDM,ccdm.dat,1592
J000354.24-574949.9:c1,WDS,00039-5750A,,G,WDS,wds.dat,687192
J000357.49+610612.9:c1,WDS,00040+6106A,,O,WDS,wds.dat,1603
J000357.88-480729.4:c1,CCDM,00040-4807A,,F,CCDM,ccdm.dat,1640
J000357.88-480729.4:c1,WDS,00040-4808A,,F,WDS,wds.dat,687233
J000400.15+494135.8:c1,WDS,00040+4942A,,F,WDS,wds.dat,1615
J000400.32+120844.5:c1,CCDM,00040+1209A,,F,CCDM,ccdm.dat,1626
J000400.32+120844.5:c1,WDS,00040+1209A,,F,WDS,wds.dat,687224
J000402.79+605049.8:c1,WDS,00040+6050A,,B,WDS,wds.dat,687210
J000408.99-055226.4:c1,WDS,00042-0552A,,K,WDS,wds.dat,1683
J000408.99-055226.4:c2,WDS,00042-0552B,,M,WDS,wds.dat,1684
J000409.23+495918.9:c1,CCDM,00042+4959A,,K,CCDM,ccdm.dat,1660
J000409.23+495918.9:c1,WDS,00042+4959A,,K,WDS,wds.dat,687249
J000411.61+270038.8:c1,WDS,00042+2701A,,A,WDS,wds.dat,687254
J000411.61+270038.8:c1,CCDM,00042+2701A,,A,CCDM,ccdm.dat,1675
J000412.44-100827.7:c1,WDS,00042-1008A,,G,WDS,wds.dat,687261
J000412.44-100827.7:c1,CCDM,00042-1008A,,G,CCDM,ccdm.dat,1688
J000413.65+621715.5:c1,CCDM,00042+6217A,,A,CCDM,ccdm.dat,687242
J000413.65+621715.5:c1,WDS,00042+6217A,,A,WDS,wds.dat,1648
J000413.65+621715.5:c4,CCDM,00042+6217B,,B,CCDM,ccdm.dat,1656
J000414.02+003031.7:c1,WDS,00042+0031A,,G,WDS,wds.dat,1679
J000415.49+370510.9:c1,WDS,00043+3705A,,F,WDS,wds.dat,1723
