bsdb,id,e,q,period,a,parallax,i,notes
J152913.76-731023.1:p1-2,136978,,,,,4.24,, | ref_idsys: HD | id: 136978 | catalogue: Hipparcos | filename: hip_main.dat
J152917.40-580443.0:p1-2,S Cir,,,9.976598,,,, | ref_idsys: GCVS | id: S Cir | catalogue: B/gcvs; CEV | filename: gcvs_cat.dat; catalog.dat
J152925.95-352408.3:p1-2,137834,,,,,9.76,, | ref_idsys: HD | id: 137834 | catalogue: Hipparcos | filename: hip_main.dat
J152930.85-512328.1:p1-2,137679,,,,,7.43,, | ref_idsys: HD | id: 137679 | catalogue: Hipparcos | filename: hip_main.dat
J152933.00-582106.4:p1-2,137583,,,,,12.05,, | ref_idsys: HD | id: 137583 | catalogue: Hipparcos | filename: hip_main.dat
J152943.71-165028.3:p1-2,2738,0.319,,234.897,,,, | ref_idsys: SBC9 | id: 2738 | catalogue: SB9 | filename: orbits.dat
J152945.03+043849.5:p1-2,138103,,,,,-1.25,, | ref_idsys: HD | id: 138103 | catalogue: Hipparcos | filename: hip_main.dat
J152958.34-100319.6:p1-2,138060,,,,,6.47,, | ref_idsys: HD | id: 138060 | catalogue: Hipparcos | filename: hip_main.dat
J152958.50+253030.6:p1-2,138232,,,,,2.12,, | ref_idsys: HD | id: 138232 | catalogue: Hipparcos | filename: hip_main.dat
J153013.90-765815.0:p1-2,GO Aps,,,0.4991,,,, | ref_idsys: GCVS | id: GO Aps | catalogue: B/gcvs; CEV | filename: gcvs_cat.dat; catalog.dat
J153019.41-093303.7:p1-2,138120,,,,,7.510000000000001,, | ref_idsys: HD | id: 138120 | catalogue: Hipparcos | filename: hip_main.dat
J153020.37+273930.1:p1-2,138305,,,,,2.46,, | ref_idsys: HD | id: 138305 | catalogue: Hipparcos | filename: hip_main.dat
J153021.36-415508.0:p1-2,137919,,,,,6.48,, | ref_idsys: HD | id: 137919 | catalogue: Hipparcos | filename: hip_main.dat
J153026.36-321810.5:p1-2,138009,,,,,10.91,, | ref_idsys: HD | id: 138009 | catalogue: Hipparcos | filename: hip_main.dat
J153033.60-293921.1:p1-2,2329,0.574,,402.7,,,, | ref_idsys: SBC9 | id: 2329 | catalogue: SB9 | filename: orbits.dat
J153035.27-800924.6:p1-2,136476,,,,,10.95,, | ref_idsys: HD | id: 136476 | catalogue: Hipparcos | filename: hip_main.dat
J153041.80-524616.7:p1-2,137865,,,,,1.44,, | ref_idsys: HD | id: 137865 | catalogue: Hipparcos | filename: hip_main.dat
J153041.80-524616.7:p3-4,137865,,,,,1.44,, | ref_idsys: HD | id: 137865 | catalogue: Hipparcos | filename: hip_main.dat
J153044.95+380948.7:p1-2,9682; 138439; 75949; 15307+3810AB,0.603,,79259.25,0.285,3.8475,23.2, | ref_idsys: ADS; HD; HIP; WDS | id: 9682; 138439; 75949; 15307+3810AB | catalogue: J/A+A/546/A69; ORB6; Hipparcos | filename: table1.dat; orb6.dat; hip_main.dat; table2.dat
J153050.17-074535.4:p1-2,138200,,,,,15.61,, | ref_idsys: HD | id: 138200 | catalogue: Hipparcos | filename: hip_main.dat
J153050.43+725610.5:p1-2,139152,,,,,3.98,, | ref_idsys: HD | id: 139152 | catalogue: Hipparcos | filename: hip_main.dat
J153053.69-844829.0:p1-2,EP Oct,,,0.448784,,,, | ref_idsys: GCVS | id: EP Oct | catalogue: B/gcvs | filename: gcvs_cat.dat
J153107.20-042145.2:p1-2,1850,0.18,,2572.0,,,, | ref_idsys: SBC9 | id: 1850 | catalogue: SB9 | filename: orbits.dat
J153110.39+101501.1:p1-2,3338,0.0,,0.331,,,, | ref_idsys: SBC9 | id: 3338 | catalogue: SB9 | filename: orbits.dat
J153111.10-784511.0:p1-2,PS Aps,,,1.086152,,,, | ref_idsys: GCVS | id: PS Aps | catalogue: B/gcvs | filename: gcvs_cat.dat
J153117.00-782043.0:p1-2,AF Aps,,,0.7975622,,,, | ref_idsys: GCVS | id: AF Aps | catalogue: CEV; B/gcvs | filename: catalog.dat; gcvs_cat.dat
J153117.22-334910.8:p1-3,138138; 76001,0.5677,,83196.645,0.444,9.855,, | ref_idsys: HD; HIP | id: 138138; 76001 | catalogue: Hipparcos; J/A+A/546/A69 | filename: hip_main.dat; table1.dat
J153117.22-334910.8:p1A-1B,138138; 76001,0.5677,,83196.645,0.44400000000000006,9.855,, | ref_idsys: HD; HIP | id: 138138; 76001 | catalogue: Hipparcos; J/A+A/546/A69 | filename: hip_main.dat; table1.dat
J153119.46-125906.7:p1-2,138253,,,,,11.64,, | ref_idsys: HD | id: 138253 | catalogue: Hipparcos | filename: hip_main.dat
J153119.46-125906.7:p1-3,138253,,,,,11.64,, | ref_idsys: HD | id: 138253 | catalogue: Hipparcos | filename: hip_main.dat
J153119.46-125906.7:p1-4,138253,,,,,11.64,, | ref_idsys: HD | id: 138253 | catalogue: Hipparcos | filename: hip_main.dat
J153122.30+363659.7:p1-2,138525; 2637,0.6041333333333333,,577.9466666666667,0.006,,55.0, | ref_idsys: HD; SBC9 | id: 138525; 2637 | catalogue: ORB6; SB9 | filename: orb6.dat; orbits.dat
J153122.31+363700.0:p1-2,138525; 76006,0.645,,570.96554255,0.0104,13.37,55.0, | ref_idsys: HD; HIP | id: 138525; 76006 | catalogue: ORB6; J/A+A/546/A69 | filename: orb6.dat; table1.dat
J153125.54-555638.0:p1-2,137924,,,,,1.73,, | ref_idsys: HD | id: 137924 | catalogue: Hipparcos | filename: hip_main.dat
J153140.09-202718.0:p1-2,BW Lib,,,0.9323250000000001,,,, | ref_idsys: GCVS | id: BW Lib | catalogue: CEV; B/gcvs | filename: catalog.dat; gcvs_cat.dat
J153142.56-515832.5:p1-2,138029,,,,,2.34,, | ref_idsys: HD | id: 138029 | catalogue: Hipparcos | filename: hip_main.dat
J153142.89+005301.5:p1-2,15317+0053AB,0.2709,,616.1465,0.01696,,145.16, | ref_idsys: WDS | id: 15317+0053AB | catalogue: ORB6 | filename: orb6.dat
J153142.89+005301.5:p1-3,138369; 76031,0.2709,,616.1464780833334,0.01696,19.67,145.16, | ref_idsys: HD; HIP | id: 138369; 76031 | catalogue: ORB6; J/A+A/546/A69 | filename: orb6.dat; table1.dat
J153146.90+405357.6:c1,15318+4054AB,0.013500000000000002,,3197.76375,0.06085,,114.6, | ref_idsys: WDS | id: 15318+4054AB | catalogue: J/A+A/546/A69; ORB6 | filename: table2.dat; orb6.dat
J153146.90+405357.6:p1-2,9688; 138629; 76041,0.016714285714285716,,3155.342571428572,0.06051428571428571,8.4,114.59999999999998, | ref_idsys: ADS; HD; HIP | id: 9688; 138629; 76041 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J153146.90+405357.6:p1-4,9688; 138629; 76041,0.016714285714285716,,3155.342571428572,0.06051428571428571,8.4,114.59999999999998, | ref_idsys: ADS; HD; HIP | id: 9688; 138629; 76041 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J153146.90+405357.6:p1A-1B,9688; 138629; 76041; 15318+4054AB,0.01584375,,3166.831640625,0.060603125,8.4,114.6, | ref_idsys: ADS; HD; HIP; WDS | id: 9688; 138629; 76041; 15318+4054AB | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat; table2.dat
J153151.80-154110.0:p1-2,VZ Lib; 2026,0.0,0.237,0.35827685818181815,,4.92,, | ref_idsys: GCVS; SBC9 | id: VZ Lib; 2026 | catalogue: V/119 ; B/gcvs; CEV; J/MNRAS/357/497; SB9 | filename: catalog.dat; gcvs_cat.dat; table1.dat; orbits.dat
J153212.88+005300.7:p1-2,138369; 76031,0.2709,,616.1464780833334,0.01696,19.67,145.16, | ref_idsys: HD; HIP | id: 138369; 76031 | catalogue: ORB6; J/A+A/546/A69 | filename: orb6.dat; table1.dat
J153223.20-083200.9:p1-2,UZ Lib; 848,0.016666666666666666,,4.763669,,7.12,, | ref_idsys: GCVS; SBC9 | id: UZ Lib; 848 | catalogue: B/gcvs; J/MNRAS/349/1069; SB9 | filename: gcvs_cat.dat; table1.dat; orbits.dat
J153225.93-544311.5:p1-2,138130,,,,,5.25,, | ref_idsys: HD | id: 138130 | catalogue: Hipparcos | filename: hip_main.dat
J153229.06-525211.1:p1A-1B,V392 Nor,,,1.298207,,,, | ref_idsys: GCVS | id: V392 Nor | catalogue: B/gcvs | filename: gcvs_cat.dat
J153229.86+764624.7:p1-2,139797,,,,,7.78,, | ref_idsys: HD | id: 139797 | catalogue: Hipparcos | filename: hip_main.dat
J153234.10-192409.8:p1-2,3091,0.512,,11.34474,,,, | ref_idsys: SBC9 | id: 3091 | catalogue: SB9 | filename: orbits.dat
J153242.99-572427.2:p1-2,138109,,,,,9.1,, | ref_idsys: HD | id: 138109 | catalogue: Hipparcos | filename: hip_main.dat
J153247.27-175544.8:p1-2,138459,,,,,9.83,, | ref_idsys: HD | id: 138459 | catalogue: Hipparcos | filename: hip_main.dat
J153248.18+194436.1:p1-2,9692; 138641; 76118; 15328+1945AB,0.42,,41068.71000000001,0.285,10.684999999999999,62.9, | ref_idsys: ADS; HD; HIP; WDS | id: 9692; 138641; 76118; 15328+1945AB | catalogue: J/A+A/546/A69; ORB6; Hipparcos | filename: table1.dat; orb6.dat; hip_main.dat; table2.dat
J153248.79-335748.8:p1-2,138360,,,,,12.61,, | ref_idsys: HD | id: 138360 | catalogue: Hipparcos | filename: hip_main.dat
J153255.77+312132.4:p1-2,138749,,,,,10.49,, | ref_idsys: HD | id: 138749 | catalogue: Hipparcos | filename: hip_main.dat
J153257.09+053032.3:p1-2,138596,,,,,0.5,, | ref_idsys: HD | id: 138596 | catalogue: Hipparcos | filename: hip_main.dat
J153309.31-242923.5:p1-2,9689; 76143,0.6386666666666666,,21989.2675,0.23866666666666667,0.0,20.5, | ref_idsys: ADS; HIP | id: 9689; 76143 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J153309.31-242923.5:p1-5,9689; 76143,0.6386666666666667,,21989.267499999998,0.23866666666666664,0.0,20.5, | ref_idsys: ADS; HIP | id: 9689; 76143 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J153309.31-242923.5:p1A-1B,9689,0.6386666666666666,,21989.267499999998,0.23866666666666667,0.0,20.5, | ref_idsys: ADS | id: 9689 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J153309.31-242923.5:p3-4,9689; 76143,0.6386666666666666,,21989.267499999998,0.23866666666666667,0.0,20.5, | ref_idsys: ADS; HIP | id: 9689; 76143 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J153312.11-444302.7:p1-2,138326,,,,,11.39,, | ref_idsys: HD | id: 138326 | catalogue: Hipparcos | filename: hip_main.dat
J153315.80+414835.1:p1-2,138884,,,,,19.21,, | ref_idsys: HD | id: 138884 | catalogue: Hipparcos | filename: hip_main.dat
J153333.97-672019.0:p1-2,138035,,,,,3.25,, | ref_idsys: HD | id: 138035 | catalogue: Hipparcos | filename: hip_main.dat
J153337.07-764654.9:p1-2,137469,,,,,5.87,, | ref_idsys: HD | id: 137469 | catalogue: Hipparcos | filename: hip_main.dat
J153339.75-700638.3:p1-2,137927,,,,,6.07,, | ref_idsys: HD | id: 137927 | catalogue: Hipparcos | filename: hip_main.dat
J153351.00-583117.0:p1-2,V405 Nor,,,15.0615,,,, | ref_idsys: GCVS | id: V405 Nor | catalogue: B/gcvs | filename: gcvs_cat.dat
J153351.04+635425.6:p1-2,139319,,,,,8.21,, | ref_idsys: HD | id: 139319 | catalogue: Hipparcos | filename: hip_main.dat
J153351.04+635425.6:p1A-1B,TW Dra,,0.46125,2.7413779563636362,12.012,4.0,86.44, | ref_idsys: GCVS | id: TW Dra | catalogue: J/A+A/417/263; II/150A; V/115; CEV; Svechnikov84; B/gcvs; J/MNRAS/491/5489 | filename: table3.dat; catalog.dat; table1.dat; table2.dat; gcvs_cat.dat; tablea1.dat
J153356.85-170004.6:p1-2,138648,,,,,26.47,, | ref_idsys: HD | id: 138648 | catalogue: Hipparcos | filename: hip_main.dat
J153421.84-230003.2:p1A-1B,EI Lib,,0.3725,1.9869075,,1.0,80.5, | ref_idsys: GCVS | id: EI Lib | catalogue: J/A+A/417/263; II/150A; CEV; B/gcvs | filename: table3.dat; catalog.dat; gcvs_cat.dat; table2.dat; table5.dat
J153426.29+320100.8:p1-2,138982,,,,,3.47,, | ref_idsys: HD | id: 138982 | catalogue: Hipparcos | filename: hip_main.dat
J153431.57+030729.0:p1-2,138834,,,,,5.97,, | ref_idsys: HD | id: 138834 | catalogue: Hipparcos | filename: hip_main.dat
J153433.11-432736.0:p1-2,138565,,,,,1.24,, | ref_idsys: HD | id: 138565 | catalogue: Hipparcos | filename: hip_main.dat
J153434.10-650611.0:p1-2,MZ TrA,,,4.73065,,,, | ref_idsys: GCVS | id: MZ TrA | catalogue: B/gcvs | filename: gcvs_cat.dat
J153440.64+265442.7:p1-2,15347+2655AB,0.357,,56504.175,0.259,,66.7, | ref_idsys: WDS | id: 15347+2655AB | catalogue: ORB6 | filename: orb6.dat
J153441.30+264253.0:p1-2,alf CrB; 139006; 850,0.37,,17.3599035,0.00175,,88.26666666666667, | ref_idsys: GCVS; HD; SBC9 | id: alf CrB; 139006; 850 | catalogue: CEV; Svechnikov99; B/gcvs; ORB6; SB9 | filename: catalog.dat; gcvs_cat.dat; orb6.dat; orbits.dat
J153445.20+621644.0:p1-2,FU Dra; 1991,0.0,0.251,0.3067171,,6.25,78.6, | ref_idsys: GCVS; SBC9 | id: FU Dra; 1991 | catalogue: V/119 ; J/MNRAS/357/497; SB9 | filename: catalog.dat; table1.dat; orbits.dat
J153448.00-280752.1:p1-2,138722,,,,,19.93,, | ref_idsys: HD | id: 138722 | catalogue: Hipparcos | filename: hip_main.dat
J153448.14+103220.4:p1-2,9701; 76276,0.16,,379129.5,3.83,14.3,111.0, | ref_idsys: ADS; HIP | id: 9701; 76276 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J153448.14+103220.4:p1-4,9701; 138917; 76276,0.16,,379129.5,3.8299999999999996,14.713333333333333,111.0, | ref_idsys: ADS; HD; HIP | id: 9701; 138917; 76276 | catalogue: J/A+A/546/A69; ORB6; Hipparcos | filename: table1.dat; orb6.dat; hip_main.dat
J153448.14+103220.4:p1A-1B,9701; 138917; 76276; 15348+1032AB,0.16,,379129.5,3.8300000000000005,14.672,111.0, | ref_idsys: ADS; HD; HIP; WDS | id: 9701; 138917; 76276; 15348+1032AB | catalogue: J/A+A/546/A69; ORB6; Hipparcos | filename: table1.dat; orb6.dat; hip_main.dat
J153448.14+103220.4:p2-3,9701,0.16,,379129.5,3.83,14.3,111.0, | ref_idsys: ADS | id: 9701 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J153450.90-582359.0:p1-2,GK Nor,,,6.53798,,,, | ref_idsys: GCVS | id: GK Nor | catalogue: B/gcvs; CEV | filename: gcvs_cat.dat; catalog.dat
J153459.59-170819.8:p1-2,138810,,,,,4.75,, | ref_idsys: HD | id: 138810 | catalogue: Hipparcos | filename: hip_main.dat
J153508.38+004446.2:p1-2,138920,,,,,1.36,, | ref_idsys: HD | id: 138920 | catalogue: Hipparcos | filename: hip_main.dat
J153508.41-410959.6:p1A-1B,138690; 76297; 15351-4110AB,0.51,,69397.5,0.655,6.638888888888889,95.0, | ref_idsys: HD; HIP; WDS | id: 138690; 76297; 15351-4110AB | catalogue: ORB6; Hipparcos; J/A+A/546/A69 | filename: orb6.dat; hip_main.dat; table1.dat
J153508.49-411000.3:p1-2,138690; 76297; 849,0.45875,,60723.1635125,0.655,6.55,95.0, | ref_idsys: HD; HIP; SBC9 | id: 138690; 76297; 849 | catalogue: ORB6; Hipparcos; J/A+A/546/A69; SB9 | filename: orb6.dat; hip_main.dat; table1.dat; orbits.dat
J153511.27+264252.9:p1-2,139006; 76267,0.36999999999999994,,17.359922416666667,0.00175,43.46,88.2, | ref_idsys: HD; HIP | id: 139006; 76267 | catalogue: ORB6; J/A+A/546/A69 | filename: orb6.dat; table1.dat
J153511.27+264252.9:p3-4,139006; 76267,0.36999999999999994,,17.359922416666667,0.00175,43.46,88.2, | ref_idsys: HD; HIP | id: 139006; 76267 | catalogue: ORB6; J/A+A/546/A69 | filename: orb6.dat; table1.dat
