q,PDF,CDF
0.012365125150914001,0.11283716092492616,0.00112
0.022290933198718114,0.1642183681318123,0.002750000000000001
0.032216741246522226,0.20149493022308237,0.004750000000000001
0.04214254929432634,0.43422157463074285,0.009060000000000002
0.05206835734213045,1.0094896004176428,0.019080000000000003
0.06199416538993457,1.3872925945859222,0.03285
0.07191997343773868,1.5545333866710827,0.04828000000000002
0.08184578148554278,1.6210267136446976,0.06437000000000001
0.09177158953334691,1.6008772206223896,0.08026000000000001
0.10169739758115101,1.5706529810889271,0.09584999999999999
0.11162320562895513,1.655280851782624,0.11228000000000002
0.12154901367675924,1.673415395502697,0.12889
0.13147482172456337,1.7479685196852421,0.14624
0.14140062977236745,1.703639635036164,0.16315000000000004
0.15132643782017158,1.7328563999185063,0.18035
0.1612522458679757,1.689534989920548,0.19712000000000005
0.17117805391577978,1.703639635036164,0.21403000000000008
0.1811038619635839,1.6280790362025035,0.23019000000000006
0.19102967001138804,1.5787127782978527,0.24586000000000005
0.20095547805919214,1.594832372715695,0.26169000000000003
0.21088128610699625,1.4799802624885423,0.27638
0.22080709415480038,1.5233016724865052,0.29150000000000004
0.23073290220260448,1.4245691566771905,0.30564
0.24065871025040858,1.4396812764439257,0.31993000000000005
0.2505845182982127,1.3953523917948476,0.33378
0.2605103263460168,1.4124794608638054,0.34780000000000005
0.27043613439382097,1.4003897650504205,0.3617
0.28036194244162504,1.321806742263426,0.37482000000000004
0.2902877504894291,1.2583358392431478,0.38731
0.3002135585372333,1.2643806871498402,0.39986
0.3101393665850374,1.2573283645920394,0.41234000000000004
0.32006517463284145,1.2089695813384926,0.42434000000000005
0.32999098268064564,1.2210592771518776,0.43646
0.3399167907284497,1.2119920052918458,0.4484900000000001
0.3498425987762538,1.1686705952938763,0.46009000000000005
0.359768406824058,1.2079621066873771,0.47208000000000006
0.36969421487186205,1.1727004938983445,0.4837200000000001
0.3796200229196661,1.1636332220382992,0.4952700000000001
0.3895458309674703,1.121319286691452,0.5064000000000001
0.3994716390152744,1.1575883741316066,0.5178900000000001
0.4093974470630785,1.0719530287868027,0.52853
0.41932325511088264,1.0830352499490663,0.53928
0.4292490631586867,1.0165419229754493,0.54937
0.43917487120649085,1.0699380794845719,0.5599900000000001
0.449100679254295,1.0296390934399495,0.57021
0.45902648730209905,1.0326615173932958,0.58046
0.4689522953499032,1.0205718215799167,0.59059
0.4788781033977073,1.0104970750687567,0.6006199999999999
0.4888039114455114,0.9530710199551783,0.61008
0.4987297194933155,0.9994148539064928,0.62
0.5086555275411196,0.9822877848375198,0.6297499999999999
0.5185813355889237,0.9268766790261829,0.6389499999999999
0.5285071436367279,0.9419887987929142,0.6483
0.538432951684532,0.9661681904196734,0.65789
0.548358759732336,0.951056070652953,0.6673300000000001
0.5582845677801402,0.9188168818172595,0.6764500000000001
0.5682103758279443,0.8644132506570174,0.6850300000000001
0.5781361838757484,0.8795253704237583,0.6937600000000003
0.5880619919235526,0.9168019325150287,0.7028600000000003
0.5979877999713566,0.9188168818172492,0.7119800000000002
0.6079136080191607,0.8976599141438357,0.7208900000000001
0.6178394160669649,0.8573609280992192,0.7294000000000003
0.627765224114769,0.8301591125190936,0.7376400000000003
0.6376910321625731,0.8019498222878713,0.7456000000000003
0.6476168402103772,0.8190768913568334,0.7537300000000002
0.6575426482581813,0.8160544674034779,0.7618300000000001
0.6674684563059854,0.8351964857746801,0.7701200000000001
0.6773942643537896,0.7757554813588704,0.7778200000000002
0.6873200724015937,0.7989273983345161,0.7857500000000001
0.6972458804493977,0.7898601264744863,0.79359
0.7071716884972019,0.7757554813588704,0.8012900000000001
0.717097496545006,0.7515760897320921,0.8087500000000001
0.7270233045928101,0.769710633452178,0.8163900000000001
0.7369491126406142,0.7556059883365621,0.8238900000000002
0.7468749206884183,0.7545985136854382,0.8313800000000001
0.7568007287362224,0.7122845783385993,0.8384500000000001
0.7667265367840266,0.7132920529897148,0.8455300000000002
0.7766523448318307,0.714299527640822,0.85262
0.7865781528796347,0.7757554813588704,0.8603200000000001
0.7965039609274389,0.7344490206631302,0.8676100000000001
0.8064297689752431,0.7203443755475225,0.8747600000000002
0.8163555770230471,0.6951575092696373,0.8816600000000002
0.8262813850708512,0.6750080162473213,0.8883600000000001
0.8362071931186554,0.7273966981053305,0.89558
0.8461330011664594,0.6588884218294823,0.9021200000000001
0.8560588092142636,0.6881051867118216,0.9089500000000001
0.8659846172620678,0.7012023571763297,0.9159100000000001
0.8759104253098717,0.6810528641540213,0.9226700000000002
0.8858362333576759,0.7304191220586685,0.9299200000000001
0.8957620414054801,0.6508286246205588,0.9363800000000001
0.9056878494532841,0.6760154908984443,0.9430900000000002
0.9156136575010883,0.6296716569471281,0.9493400000000001
0.9255394655488924,0.6216118597382118,0.9555100000000001
0.9354652735966964,0.6347090302027122,0.9618100000000002
0.9453910816445006,0.6437763020627437,0.9682000000000002
0.9553168896923048,0.66594074438729,0.9748100000000002
0.9652426977401087,0.6750080162473288,0.9815100000000002
0.9751685057879129,0.6004548920647813,0.9874700000000001
0.9850943138357171,0.6216118597382118,0.9936400000000001
0.9950201218835212,0.6407538781093975,1.0
